职位名称,公司名称,公司类型,融资情况,公司规模
分布式块存储产品经理【北京-海淀区】,某知名公司,计算机软件, ,100-499人
云存储开发工程师（分布式块存储方向）【苏州-虎丘区】,某苏州大型运营商/增值服务公司,运营商/增值服务,融资未公开,1000-2000人
云存储开发工程师（分布式块存储方向）(J11600)【苏州-虎丘区】,中移软件技术,运营商/增值服务,其他,1000-2000人
云存储开发工程师（分布式块存储方向）【苏州】,某苏州大型计算机软件公司,运营商/增值服务,融资未公开,1000-2000人
22989-腾讯云分布式块存储后台研发工程师（全资子公司）（武汉）【武汉】,腾讯,互联网,已上市,10000人以上
C软件开发工程师（分布式块存储）【杭州-滨江区】,杭州宏杉科技股份有限公司,计算机硬件, ,500-999人
块存储研发工程师【成都-高新区】,中国电子系统技术有限公司,电子/半导体/集成电路, ,5000-10000人
块存储研发工程师【成都-高新区】,中国电子系统技术有限公司,电子/半导体/集成电路, ,5000-10000人
云存储研发工程师【成都-武侯区】,曙光信息产业股份有限公司,计算机硬件,沪深A股上市,2000-5000人
资深分布式存储开发工程师【成都】,北京青云科技股份有限公司,IT服务,科创板上市,500-999人
资深存储开发工程师【武汉】,北京青云科技股份有限公司,IT服务,科创板上市,500-999人
云存储研发工程师【天津-西青区】,曙光信息产业股份有限公司,计算机硬件,沪深A股上市,2000-5000人
存储研发工程师【深圳-南山区】,爱捷云,云计算/大数据, ,100-499人
存储研发工程师【成都-高新区】,爱捷云,云计算/大数据, ,100-499人
拔尖-高级开发工程师/专家 （存储方向）【苏州-虎丘区】,某北京通信设备上市公司,通信设备,已上市,10000人以上
拔尖-高级开发工程师/专家 （存储方向）-iaas部【苏州】,某大型运营商/增值服务公司,运营商/增值服务,融资未公开,1000-2000人
高级开发工程师/专家 （存储方向）【苏州】,某苏州大型计算机软件公司,运营商/增值服务,融资未公开,1000-2000人
高级开发工程师/专家 （存储方向）【苏州】,某大型计算机软件公司,运营商/增值服务,融资未公开,1000-2000人
高级开发工程师&专家 （存储方向）【苏州】,某大型计算机软件公司,运营商/增值服务,融资未公开,1000-2000人
高级开发工程师【苏州】,某苏州大型计算机软件公司,运营商/增值服务,融资未公开,1000-2000人
高级开发工程师/专家 （存储方向）【苏州-虎丘区】,国有企业,通信业,已上市,10000人以上
存储系统架构师【上海】,某苏州大型计算机软件公司,运营商/增值服务,融资未公开,1000-2000人
系统架构师【苏州】,某苏州大型计算机软件公司,运营商/增值服务,融资未公开,1000-2000人
存储系统架构师【北京】,某苏州大型计算机软件公司,运营商/增值服务,融资未公开,1000-2000人
高级开发工程师/专家 （存储方向）【苏州-虎丘区】,某大型通信公司,通信设备,融资未公开,10000人以上
高级开发工程师/专家 （存储方向）【苏州】,苏州某国企,大数据,融资未公开,1000-2000人
存储测试经理(N5880)【深圳-南山区】,XSKY星辰天合,计算机软件,D轮,500-999人
分布式存储资深架构师【南京-雨花台区】,某深圳通信设备上市公司,通信设备,已上市,10000人以上
分布式存储资深架构师【南京】,某深圳大型计算机硬件公司,计算机硬件,D轮及以上,5000-10000人
分布式存储资深架构师【南京-雨花台区】,某深圳通信设备上市公司,通信设备,已上市,10000人以上
分布式存储软件架构师【南京】,某南京知名公司,互联网,融资未公开,10000人以上
分布式存储资深架构师【南京-雨花台区】,某知名上市公司,通信设备,已上市,10000人以上
分布式存储资深架构师【南京】,某深圳IT服务上市公司,通信设备,已上市,10000人以上
分布式存储资深架构师【南京】,某知名IT服务上市公司,通信设备,已上市,10000人以上
分布式存储资深架构师【南京-雨花台区】,知名通讯上市厂商,电子/芯片/半导体,已上市,10000人以上
分布式存储资深架构师【南京】,某大型知名通信设备公司,通信设备,已上市,10000人以上
分布式存储资深架构师【南京-雨花台区】,某知名通信设备上市公司,通信设备,已上市,10000人以上
分布式存储资深架构师【南京】,某深圳通信设备上市公司,通信设备,已上市,10000人以上
高级分布式存储系统架构专家-iaas(J11409)【苏州-虎丘区】,中移软件技术,运营商/增值服务,其他,1000-2000人
存储运维工程师【北京-海淀区】,成都忆享科技有限公司,云计算/大数据,其他,5000-10000人
云存储架构师【北京-海淀区】,浪潮云服务,IT服务, ,2000-5000人
分布式软件开发专家【南京】,某深圳大型通信设备公司,通信设备,融资未公开,10000人以上
分布式存储资深架构师【南京-雨花台区】,某知名通信上市公司,机械/机电/重工,融资未公开,10000人以上
分布式存储资深架构师【南京】,某深圳知名上市公司,通信设备,已上市,5000-10000人
分布式存储资深架构师【南京-雨花台区】,某知名上市公司,通信设备,已上市,10000人以上
分布式存储系统研发工程师【苏州-虎丘区】,中移软件技术,运营商/增值服务,其他,1000-2000人
解决方案销售经理（鲁西）【济南-历下区】,SmartX,计算机软件,C轮,100-499人
