职位名称,公司名称,公司类型,融资情况,公司规模
分布式块存储产品经理【北京-海淀区】,某知名公司,计算机软件, ,100-499人
块存储研发工程师(H8072)【北京-海淀区】,XSKY星辰天合,计算机软件,D轮,500-999人
块存储研发工程师(A0815)【北京-海淀区】,XSKY星辰天合,计算机软件,D轮,500-999人
块存储研发工程师(A0815)【深圳-南山区】,XSKY星辰天合,计算机软件,D轮,500-999人
块存储开发工程师(J10768)【深圳-南山区】,联通数字科技有限公司,计算机软件,融资未公开,2000-5000人
块存储开发工程师【深圳-南山区】,联通数字科技有限公司,计算机软件,融资未公开,2000-5000人
块存储研发工程师【成都-高新区】,中国电子系统技术有限公司,电子/半导体/集成电路, ,5000-10000人
块存储研发工程师【成都-高新区】,中国电子系统技术有限公司,电子/半导体/集成电路, ,5000-10000人
块存储研发工程师(W8671)【深圳-南山区】,XSKY星辰天合,计算机软件,D轮,500-999人
块存储开发工程师【南京-雨花台区】,中国电子系统技术有限公司,电子/半导体/集成电路, ,5000-10000人
阿里云智能-块存储高级研发专家-杭州【杭州】,阿里巴巴集团,互联网,港股上市,10000人以上
块存储测试工程师(成都)(J9397)【成都-高新区】,XSKY星辰天合,计算机软件,D轮,500-999人
云存储开发工程师（分布式块存储方向）【苏州-虎丘区】,某苏州大型运营商/增值服务公司,运营商/增值服务,融资未公开,1000-2000人
块存储测试工程师(深圳)(O6938)【深圳-南山区】,XSKY星辰天合,计算机软件,D轮,500-999人
云存储开发工程师（分布式块存储方向）(J11600)【苏州-虎丘区】,中移软件技术,运营商/增值服务,其他,1000-2000人
云存储开发工程师（分布式块存储方向）【苏州】,某苏州大型计算机软件公司,运营商/增值服务,融资未公开,1000-2000人
块存储研发工程师(JX262)【深圳-南山区】,XSKY星辰天合,计算机软件,D轮,500-999人
块存储开发工程师/专家【上海-长宁区】,上海寻梦信息技术有限公司,电子商务,已上市,10000人以上
22989-腾讯云分布式块存储后台研发工程师（全资子公司）（武汉）【武汉】,腾讯,互联网,已上市,10000人以上
块存储技术专家【深圳-南山区】,深信服科技股份有限公司,互联网,已上市,5000-10000人
C软件开发工程师（分布式块存储）【杭州-滨江区】,杭州宏杉科技股份有限公司,计算机硬件, ,500-999人
基础架构专家【杭州-余杭区】,阿里巴巴集团,互联网,港股上市,10000人以上
高级运维工程师【西安-高新区】,软通动力,互联网, ,10000人以上
分布式存储系统研发工程师【苏州-虎丘区】,中移软件技术,运营商/增值服务,其他,1000-2000人
运维开发工程师(Z6067)【武汉-江夏区】,XSKY星辰天合,计算机软件,D轮,500-999人
存储测试经理(N5880)【深圳-南山区】,XSKY星辰天合,计算机软件,D轮,500-999人
分布式存储开发工程师【青岛】,海尔卡奥斯物联生态科技有限公司,物联网, ,5000-10000人
c++软件开发工程师【成都-郫都区】,华为技术有限公司成都研究所,通信设备, ,10000人以上
c语言开发工程师【成都】,华为技术有限公司成都研究所,通信设备, ,10000人以上
存储研发工程师【深圳-南山区】,爱捷云,云计算/大数据, ,100-499人
存储研发工程师【成都-高新区】,爱捷云,云计算/大数据, ,100-499人
分布式存储开发部经理【长沙】,某长沙计算机硬件公司,计算机硬件, ,100-499人
拔尖-高级开发工程师/专家 （存储方向）【苏州-虎丘区】,某北京通信设备上市公司,通信设备,已上市,10000人以上
拔尖-高级开发工程师/专家 （存储方向）-iaas部【苏州】,某大型运营商/增值服务公司,运营商/增值服务,融资未公开,1000-2000人
分布式存储开发工程师（leader）【长沙-岳麓区】,某北京计算机硬件上市公司,计算机硬件,已上市,100-499人
分布式存储开发工程师（leader）【成都】,某北京计算机硬件上市公司,计算机硬件,已上市,100-499人
高级开发工程师/专家 （存储方向）【苏州】,某苏州大型计算机软件公司,运营商/增值服务,融资未公开,1000-2000人
分布式存储开发部经理【长沙-岳麓区】,某长沙计算机硬件公司,计算机硬件, ,100-499人
分布式存储开发部经理【长沙-岳麓区】,某长沙知名计算机硬件公司,计算机硬件, ,100-499人
高级运维工程师(Ceph方向)【上海-黄浦区】,九州云,计算机软件,B轮,100-499人
分布式存储开发leader【成都-高新区】,同有科技,计算机硬件,沪深A股上市,100-499人
分布式存储开发leader【成都】,某长沙IT服务公司,计算机硬件, ,100-499人
分布式开发工程师（leader）【长沙-岳麓区】,同有科技,计算机硬件,沪深A股上市,100-499人
高级开发工程师/专家 （存储方向）【苏州】,某大型计算机软件公司,运营商/增值服务,融资未公开,1000-2000人
高级开发工程师&专家 （存储方向）【苏州】,某大型计算机软件公司,运营商/增值服务,融资未公开,1000-2000人
分布式存储开发leader【长沙-岳麓区】,同有科技,计算机硬件,沪深A股上市,100-499人
云储存测试-外派互联网大厂/双休/包三餐【成都】,软通动力,互联网, ,10000人以上
高级开发工程师【苏州】,某苏州大型计算机软件公司,运营商/增值服务,融资未公开,1000-2000人
资深分布式存储开发工程师【北京-海淀区】,某北京互联网上市公司,互联网,已上市,10000人以上
高级开发工程师/专家 （存储方向）【苏州-虎丘区】,国有企业,通信业,已上市,10000人以上
存储系统架构师【上海】,某苏州大型计算机软件公司,运营商/增值服务,融资未公开,1000-2000人
系统架构师【苏州】,某苏州大型计算机软件公司,运营商/增值服务,融资未公开,1000-2000人
存储系统架构师【北京】,某苏州大型计算机软件公司,运营商/增值服务,融资未公开,1000-2000人
资深分布式存储开发工程师【北京】,某北京互联网上市公司,互联网,已上市,5000-10000人
资深分布式存储开发工程师【北京】,搜狐,互联网,已上市,10000人以上
分布式存储开发工程师【北京】,搜狐,互联网,已上市,10000人以上
Ceph分布式存储高级开发工程师【杭州】,京东科技集团,人工智能, ,10000人以上
资深分布式存储开发工程师【北京-海淀区】,某北京知名互联网公司,互联网,已上市,10000人以上
高级开发工程师/专家 （存储方向）【苏州-虎丘区】,某大型通信公司,通信设备,融资未公开,10000人以上
高级开发工程师/专家 （存储方向）【苏州】,苏州某国企,大数据,融资未公开,1000-2000人
分布式存储研发专家（北、上、广、成都）【北京-海淀区】,某北京大型计算机软件公司,计算机软件,战略融资,2000-5000人
测试开发工程师【北京】,华为,通信设备, ,10000人以上
测试工程师【北京-海淀区】,华为,通信设备, ,10000人以上
研发专家（存储）【上海】,某北京大型计算机软件公司,计算机软件,战略融资,2000-5000人
研发专家（存储）【北京】,某北京大型计算机软件公司,计算机软件,战略融资,2000-5000人
研发专家（存储）【成都】,某北京大型计算机软件公司,计算机软件,战略融资,2000-5000人
华为OD测试开发工程师【上海】,华为,通信设备, ,10000人以上
研发专家（分布式存储）【北京-海淀区】,某北京大型计算机软件公司,计算机软件,战略融资,2000-5000人
研发专家（存储）【北京-海淀区】,某北京大型计算机软件公司,计算机软件,战略融资,2000-5000人
